"","GSM442574.CEL","GSM442574.CEL.gz","GSM442575.CEL","GSM442575.CEL.gz","GSM442576.CEL","GSM442576.CEL.gz","GSM442577.CEL","GSM442577.CEL.gz","GSM442578.CEL","GSM442578.CEL.gz","GSM442579.CEL","GSM442579.CEL.gz","GSM442580.CEL","GSM442580.CEL.gz"
"Gga.10163.1.S1_at",2.88167571893381,2.88167571893381,3.38950711920243,3.38950711920243,3.30789570133322,3.30789570133322,3.30789570133322,3.30789570133322,3.57433388167759,3.57433388167759,3.3015717033586,3.3015717033586,3.37458369915017,3.37458369915017
"Gga.10163.1.S1_s_at",3.39800654702472,3.39800654702472,3.10367801149806,3.10367801149806,3.43300338187703,3.43300338187703,3.36665866118521,3.36665866118521,3.37133346302851,3.37133346302851,3.36665866118521,3.36665866118521,3.3165858034152,3.3165858034152
"Gga.10164.1.S1_at",4.75839581842655,4.75839581842655,4.69237740715404,4.69237740715404,4.61277751827929,4.61277751827929,4.61952010305421,4.61952010305421,4.5317715748478,4.5317715748478,4.68418505528319,4.68418505528319,4.73439917208428,4.73439917208428
"Gga.10165.1.S1_at",3.39362387913079,3.39362387913079,3.24375761843044,3.24375761843044,3.34769023127925,3.34769023127925,3.08912303996238,3.08912303996238,3.27760662319967,3.27760662319967,3.27760662319967,3.27760662319967,3.30789570133322,3.30789570133322
"Gga.10166.1.S1_at",3.46183863858104,3.46183863858104,3.50051624645233,3.50051624645233,3.50492970482261,3.50492970482261,3.74909537156516,3.74909537156516,3.69574487655654,3.69574487655654,3.50492970482261,3.50492970482261,3.43292837251406,3.43292837251406
"Gga.10167.1.S1_at",2.52213463755246,2.52213463755246,2.37310603478247,2.37310603478247,2.45256824024956,2.45256824024956,2.59719656671699,2.59719656671699,2.39921774524095,2.39921774524095,2.39921774524095,2.39921774524095,2.39921774524095,2.39921774524095
"Gga.10168.1.S1_at",3.63957419441424,3.63957419441424,3.85937452419168,3.85937452419168,3.96768292114238,3.96768292114238,3.76561796534007,3.76561796534007,4.01174862607166,4.01174862607166,4.03990994792044,4.03990994792044,3.85937452419168,3.85937452419168
"Gga.10169.1.S1_s_at",3.32733484968881,3.32733484968881,3.29196699533853,3.29196699533853,3.19781099411364,3.19781099411364,3.10402598558467,3.10402598558467,3.19781099411364,3.19781099411364,3.02729243178364,3.02729243178364,3.19781099411364,3.19781099411364
"Gga.1017.1.S1_s_at",4.88231102407693,4.88231102407693,4.90570315132029,4.90570315132029,4.84854693884639,4.84854693884639,4.89962776637374,4.89962776637374,5.21326322777882,5.21326322777882,4.85107304958141,4.85107304958141,4.89962776637374,4.89962776637374
"Gga.10170.1.S1_at",3.40736180954619,3.40736180954619,3.25951080969134,3.25951080969134,3.20909277727967,3.20909277727967,3.40736180954619,3.40736180954619,3.40736180954619,3.40736180954619,3.40736180954619,3.40736180954619,3.64608760107536,3.64608760107536
"Gga.10171.1.A1_at",3.56793472497454,3.56793472497454,3.51861332805107,3.51861332805107,3.46215338830296,3.46215338830296,3.65656029961392,3.65656029961392,3.51861332805107,3.51861332805107,3.57361327869948,3.57361327869948,3.37937445707523,3.37937445707523
"Gga.10171.1.S1_at",2.4803902359832,2.4803902359832,2.51341936756809,2.51341936756809,2.41985421212555,2.41985421212555,2.4803902359832,2.4803902359832,2.61436623595662,2.61436623595662,2.26231648344708,2.26231648344708,2.58380797807899,2.58380797807899
"Gga.10172.1.S1_at",2.82147233257024,2.82147233257024,2.82147233257024,2.82147233257024,2.90903855783748,2.90903855783748,2.82147233257024,2.82147233257024,2.82147233257024,2.82147233257024,2.75306378766061,2.75306378766061,2.82147233257024,2.82147233257024
"Gga.10172.2.S1_a_at",2.35976237557841,2.35976237557841,2.35976237557841,2.35976237557841,2.39423010087641,2.39423010087641,2.35976237557841,2.35976237557841,2.470238803628,2.470238803628,2.35976237557841,2.35976237557841,2.2232550967588,2.2232550967588
"Gga.10172.2.S1_at",2.63138341700686,2.63138341700686,2.49439160674255,2.49439160674255,2.43403318224937,2.43403318224937,2.59039230653258,2.59039230653258,2.750016884839,2.750016884839,2.61241671421042,2.61241671421042,2.71990309007058,2.71990309007058
"Gga.10173.1.S1_at",3.68986235623824,3.68986235623824,3.91326741886149,3.91326741886149,3.12075425561815,3.12075425561815,4.50994954568792,4.50994954568792,2.57458950127183,2.57458950127183,3.00949408063759,3.00949408063759,2.85543677824611,2.85543677824611
"Gga.10173.1.S1_s_at",4.76514824741055,4.76514824741055,5.64650539425906,5.64650539425906,3.16885073323321,3.16885073323321,6.85025911280772,6.85025911280772,2.48716191617924,2.48716191617924,3.01952590430487,3.01952590430487,2.83427446337305,2.83427446337305
"Gga.10174.1.S1_a_at",4.77299674598776,4.77299674598776,4.77299674598776,4.77299674598776,4.77299674598776,4.77299674598776,4.77299674598776,4.77299674598776,4.77299674598776,4.77299674598776,4.81458828489535,4.81458828489535,4.77299674598776,4.77299674598776
"Gga.10175.1.S1_at",5.35058689154988,5.35058689154988,5.1510137466605,5.1510137466605,5.29095966250887,5.29095966250887,5.24671313575243,5.24671313575243,5.27800769647893,5.27800769647893,5.44010196129046,5.44010196129046,5.29095966250887,5.29095966250887
"Gga.10176.1.S1_at",4.78030916331276,4.78030916331276,5.02194705543605,5.02194705543605,4.83957632822713,4.83957632822713,4.96711385179064,4.96711385179064,5.06131612269191,5.06131612269191,4.70789960502167,4.70789960502167,4.83957632822713,4.83957632822713
"Gga.10176.1.S1_s_at",5.44305132323958,5.44305132323958,5.92493694612435,5.92493694612435,5.12189709529425,5.12189709529425,5.38936898978217,5.38936898978217,5.23280211635714,5.23280211635714,5.06133934272613,5.06133934272613,5.65398272165425,5.65398272165425
"Gga.10177.1.S1_at",2.67877619414141,2.67877619414141,2.48585580069841,2.48585580069841,2.69631213641058,2.69631213641058,2.52531117036095,2.52531117036095,2.40767958528675,2.40767958528675,2.48585580069841,2.48585580069841,2.41396040051214,2.41396040051214
"Gga.10178.1.S1_at",4.34419518872001,4.34419518872001,4.37930950671348,4.37930950671348,4.54885256348093,4.54885256348093,4.51690967734207,4.51690967734207,4.50226361049132,4.50226361049132,4.51690967734207,4.51690967734207,4.64288974845172,4.64288974845172
"Gga.10179.2.S1_a_at",3.5141831168821,3.5141831168821,3.41815919544457,3.41815919544457,3.27489856699765,3.27489856699765,3.4564623103614,3.4564623103614,3.34044109609375,3.34044109609375,3.58537558498949,3.58537558498949,3.49775052511578,3.49775052511578
"Gga.1018.1.S1_at",4.09890006396129,4.09890006396129,4.26404056438397,4.26404056438397,4.20678884488881,4.20678884488881,4.25321229460057,4.25321229460057,4.19845398037738,4.19845398037738,4.20199932753268,4.20199932753268,4.21219553240457,4.21219553240457
"Gga.10180.1.S1_a_at",4.86232975848143,4.86232975848143,4.61588957383409,4.61588957383409,4.79740481156034,4.79740481156034,4.6507776925627,4.6507776925627,4.54566047462206,4.54566047462206,4.6507776925627,4.6507776925627,4.40623624970135,4.40623624970135
"Gga.10180.2.A1_at",5.18245491499434,5.18245491499434,5.06172308648236,5.06172308648236,4.8651256481951,4.8651256481951,4.91915264995858,4.91915264995858,5.1619209135172,5.1619209135172,5.02712564247592,5.02712564247592,5.00436428035832,5.00436428035832
"Gga.10181.1.S1_at",2.7155826229257,2.7155826229257,2.61529604629346,2.61529604629346,2.7155826229257,2.7155826229257,2.7155826229257,2.7155826229257,2.50960320532794,2.50960320532794,2.79526021327883,2.79526021327883,2.91183278911147,2.91183278911147
"Gga.10182.1.S1_at",2.97837509488729,2.97837509488729,3.01783046454983,3.01783046454983,3.05635766440259,3.05635766440259,2.97492228968984,2.97492228968984,3.01783046454983,3.01783046454983,3.06726654491426,3.06726654491426,2.97837509488729,2.97837509488729
